language,metric,n_org,n_user,median_org,median_user,mean_org,mean_user,U,p_raw,rank_biserial,effect_bin,direction
Java,bugs_per_kloc,130,132,0.0,0.0,22.376881707894885,10.41482325323945,9169.0,0.29993191706097744,0.06864801864801873,negligible,org_higher
Java,code_smells_per_kloc,130,132,41.73271965396345,35.76619500110262,464.68525261925913,241.3795657787504,9359.0,0.20424103435415486,0.09079254079254073,negligible,org_higher
Java,vulnerabilities_per_kloc,130,132,0.0,0.0,0.3866987695812744,0.33353598009239194,7382.5,0.0018154080997702748,-0.13956876456876455,small,org_lower
Java,security_hotspots_per_kloc,130,132,0.09075329398509085,0.22951244683529937,2.151627385378706,1.2235269568486753,8384.5,0.7380446517197918,-0.022785547785547755,negligible,org_lower
Java,vuln_blocker_per_kloc,130,132,0.0,0.0,0.569943516176383,0.7179335933249587,7976.0,0.19926399890468238,-0.07039627039627039,negligible,org_lower
Java,vuln_critical_per_kloc,130,132,3.9895940202400295,3.623034639825252,74.31455557505996,37.81254655370819,9011.5,0.47813419413504765,0.050291375291375395,negligible,org_higher
Java,vuln_major_per_kloc,130,132,15.754796146575966,14.337029582285657,373.2084476451715,182.05251407537696,8678.5,0.8728452057897135,0.01148018648018656,negligible,org_higher
Java,vuln_minor_per_kloc,130,132,13.60615083444688,9.522481286920243,38.2200326045962,30.803662117755287,9524.0,0.12262012883430787,0.11002331002331012,small,org_higher
Java,vuln_info_per_kloc,130,132,0.0,0.0,1.1358537557313049,0.7412686719167815,8376.0,0.6814807124421332,-0.023776223776223793,negligible,org_lower
